null,WPSO,CPSO,CLPSO,OLPSO
f1(Sphere),7.535682468322588E-132$5.035359564579553E-131,7.52271106143365E-161$1.128395061743675E-159,3.6533144573934335E-27$2.719695480722853E-26,3.336973643622321E-33$1.4830481337830812E-32
f2(SchwefelP2),1.2343267206312946E-74$8.488556016279127E-74,2.344846387645248E-46$3.517001673393063E-45,1.562616732328085E-17$6.034270082298046E-17,2.2664791326609052E-21$9.949525971796659E-21
f3(Rosenbrocks),9.860761315262648E-31$9.860761315262648E-30,0.0$0.0,0.0012663344344008567$0.0028683385542596852,1.3005039714808921$9.753779786106692
f4(Ackley),0.03193837473391798$0.11538165020182944,0.030768476713661504$0.11538165020182944,9.817793670544954E-6$1.7808240491135052E-5,0.015384220026910474$0.11538165020182944
f5(Griewanks),0.06926316940618459$0.06764884733764898,0.07273142186659037$0.06150913588066709,5.522364857338147E-4$0.004091248678053272,0.0540474177468079$0.03563903741769009
f6(Weierstrass),0.0$0.0,0.0$0.0,0.0$0.0,0.0$0.0
f7(Rastrigin),1.3266120761243867$2.4873976427332263,3.153067049798101$15.954795448532884,0.0$0.0,0.3979836228373159$0.9949590570932898
f8(NoncontinuousRastrigin),0.0$0.0,0.0$0.0,0.0$0.0,0.0$0.0
f9(Schwefel),411.1931777439132$416.0512306626988,549.4218034444962$534.489565277137,1.2727566172543447E-4$0.0,332.9422491066321$357.5905931115633
f10(GeneralizedPenalized),4.711634315359918E-32$0.0,4.711634315359918E-32$0.0,7.453890922292659E-31$1.7221917564653338E-30,4.763265140871304E-32$7.74462382670789E-33
f11(RotatedAckley),0.2533261921489551$0.1485879522434299,0.2489632987902361$0.14120021184238674,0.11968967405023782$0.08880575924494316,0.22352912373830555$0.1255888820924067
f12(RotatedGriewanks),0.2327519434661407$0.2940006942227682,0.20627594449812212$0.2880433975919161,0.25936091738481043$0.1954315047976714,0.1208089806221183$0.11327582514019202
f13(RotatedWeierstrass),3.3223223764241094$2.968134112770847,2.9899723709000194$2.603812108211491,4.951891038694288$1.7908546659054903,5.381431318902194$1.4943249208771592
f14(RotatedRastrigin),11.444571957646888$12.972755923233791,12.072155101497856$8.457141909654823,9.627142905034468$5.286901027089674,17.362251149555803$8.25757690386433
